No,Name,Location,Map,Contact,Type,Category,Website,Services Offered,Operating Hours,Target Group,NSSF Supported
85,Choeung Ek Health Center,Dangkor,View Map,095 980 656 /096 816 1525,Hospital,General,View Web,General healthcare,Open 24/7,All ages,Yes
86,Chamkar Doung Health Centre,Dangkor,View Map,078 558 977,Hospital,General,View Web,General healthcare,Open 24/7,All ages,Yes
87,Rolous Health Center,Dangkor,View Map,097 714 6846 /096 500 6650,Hospital,General,View Web,General healthcare,Open 24/7,All ages,Yes
88,Samrong Health Center,Prek Pnov,View Map,012 517 205 /016 684 656,Hospital,General,View Web,General healthcare,Open 24/7,All ages,Yes
89,Pormungkal Health Center,Prek Pnov,N/A,070 656 680 /098 444 485,Hospital,General,View Web,General healthcare,Open 24/7,All ages,Yes
90,Penseng Health Center,Prek Pnov,View Map, 012 946 575 /016 476 345,Hospital,General,View Web,General healthcare,Open 24/7,All ages,Yes
91,Ponhea Pun Health Center,Prek Pnov,View Map,012 636 014 /016 476 345,Hospital,General,View Web,General healthcare,Open 24/7,All ages,Yes
92,Kork Roka Health Center,Prek Pnov,View Map, 012 775 472 /012 949 456,Hospital,General,View Web,General healthcare,Open 24/7,All ages,Yes
93,Steung Meanchey Health Center,Mean Chey,View Map,012 839 162 /011 554 247,Hospital,General,View Web,General healthcare,Open 24/7,All ages,Yes
94,Prek Eng Health Center,Chbar Ampov,View Map,017 942 643 /096 956 56 53,Hospital,General,View Web,General healthcare,Open 24/7,All ages,Yes
95,Prek Thmei Health Center,Chbar Ampov,View Map,012 202 270 /017 793 959,Hospital,General,View Web,General healthcare,Open 24/7,All ages,Yes
96,Koeut Chhunly Clinic Hypnosis and Psychoanalysis,Chamkar Mon,View Map,011878258,Clinic,Mental Health Clinic,N/A,"Mental health consultation, counseling, therapy","Mon-Sun 6:30-7:30AM, 5-8PM",All ages,No
97,Hout Linna Mental and Brain Clinic,Daun Penh,View Map,012653879,Clinic,Mental Health Clinic,View Web,"Mental health consultation, counseling, therapy",N/A,All ages,No
98,"Dr. PAUV Bunthoeun, Psychiatrist",Tuol Kouk,View Map,012851484,Clinic,Mental Health Clinic,View Web,"Mental health consultation, counseling, therapy","Mon-Sun 6-7AM, 11:30AM-12:30PM, 5-8PM",All ages,No
99,Dr. Heng Sopheap Psychiatrist,Sen Sok,View Map,061 545 565,Clinic,Mental Health Clinic,View Web,"Mental health consultation, counseling, therapy",N/A,All ages,No
100,Visith Clinic,Sen Sok,View Map,092199030,Clinic,General,N/A,General healthcare,Mon-Sun 7:00am-8:00pm,All ages,No
